text,label,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,steeming
Ketemu driver gocar lansia yang ngeselin pdhl Mengeluh byk barang bawaan Mengeluh payment gopay Sambil jalan sy ganti payment gopay Kan ga dilarang gojek Kata supirkalau sy tahu bayar pakai gopayga mau sy jemput Sombong amit,-1,"['Ketemu', 'driver', 'gocar', 'lansia', 'yang', 'ngeselin', 'pdhl', 'Mengeluh', 'byk', 'barang', 'bawaan', 'Mengeluh', 'payment', 'gopay', 'Sambil', 'jalan', 'sy', 'ganti', 'payment', 'gopay', 'Kan', 'ga', 'dilarang', 'gojek', 'Kata', 'supirkalau', 'sy', 'tahu', 'bayar', 'pakai', 'gopayga', 'mau', 'sy', 'jemput', 'Sombong', 'amit']",<FreqDist with 31 samples and 36 outcomes>,"['Ketemu', 'driver', 'gocar', 'lansia', 'ngeselin', 'pdhl', 'Mengeluh', 'barang', 'bawaan', 'Mengeluh', 'payment', 'gopay', 'Sambil', 'jalan', 'ganti', 'payment', 'gopay', 'Kan', 'dilarang', 'gojek', 'Kata', 'supirkalau', 'bayar', 'pakai', 'gopayga', 'jemput', 'Sombong', 'amit']","['ketemu', 'driver', 'gocar', 'lansia', 'ngeselin', 'pdhl', 'keluh', 'barang', 'bawa', 'keluh', 'payment', 'gopay', 'sambil', 'jalan', 'ganti', 'payment', 'gopay', 'kan', 'larang', 'gojek', 'kata', 'supirkalau', 'bayar', 'pakai', 'gopayga', 'jemput', 'sombong', 'amit']"
iklan gojek palsu bgt,-1,"['iklan', 'gojek', 'palsu', 'bgt']",<FreqDist with 4 samples and 4 outcomes>,"['iklan', 'gojek', 'palsu']","['iklan', 'gojek', 'palsu']"
pel FESS Etapi kalo pesen lewat gojeksf gitu suka cepet bgt masa lebih cepet drpd beli sendiri wkwk,1,"['pel', 'FESS', 'Etapi', 'kalo', 'pesen', 'lewat', 'gojeksf', 'gitu', 'suka', 'cepet', 'bgt', 'masa', 'lebih', 'cepet', 'drpd', 'beli', 'sendiri', 'wkwk']",<FreqDist with 17 samples and 18 outcomes>,"['pel', 'FESS', 'Etapi', 'pesen', 'gojeksf', 'suka', 'cepet', 'cepet', 'beli']","['pel', 'fess', 'etapi', 'sen', 'gojeksf', 'suka', 'cepet', 'cepet', 'beli']"
Mending gojek gue,1,"['Mending', 'gojek', 'gue']",<FreqDist with 3 samples and 3 outcomes>,"['Mending', 'gojek', 'gue']","['mending', 'gojek', 'gue']"
grab sampai gojek jer,1,"['grab', 'sampai', 'gojek', 'jer']",<FreqDist with 4 samples and 4 outcomes>,"['grab', 'gojek', 'jer']","['grab', 'gojek', 'jer']"
iya btul kadang gojek pun susah dapet,-1,"['iya', 'btul', 'kadang', 'gojek', 'pun', 'susah', 'dapet']",<FreqDist with 7 samples and 7 outcomes>,"['btul', 'kadang', 'gojek', 'susah', 'dapet']","['btul', 'kadang', 'gojek', 'susah', 'dapet']"
Yang ldr chatnya pake gojek aja ya guys Aplikasi anak bangsa ga mungkin diblokir,-1,"['Yang', 'ldr', 'chatnya', 'pake', 'gojek', 'aja', 'ya', 'guys', 'Aplikasi', 'anak', 'bangsa', 'ga', 'mungkin', 'diblokir']",<FreqDist with 14 samples and 14 outcomes>,"['Yang', 'ldr', 'chatnya', 'pake', 'gojek', 'Aplikasi', 'anak', 'bangsa', 'diblokir']","['yang', 'ldr', 'chatnya', 'pake', 'gojek', 'aplikasi', 'anak', 'bangsa', 'blokir']"
enak gojek ap,1,"['enak', 'gojek', 'ap']",<FreqDist with 3 samples and 3 outcomes>,"['gojek', 'ap']","['gojek', 'ap']"
Hai Kak mohon diinformasikan detail kendala yang kamu alami dan nomor telepon yang terdaftar diakun Goje,-1,"['Hai', 'Kak', 'mohon', 'diinformasikan', 'detail', 'kendala', 'yang', 'kamu', 'alami', 'dan', 'nomor', 'telepon', 'yang', 'terdaftar', 'diakun', 'Goje']",<FreqDist with 15 samples and 16 outcomes>,"['Hai', 'Kak', 'diinformasikan', 'detail', 'kendala', 'alami', 'nomor', 'telepon', 'terdaftar', 'diakun', 'Goje']","['hai', 'kak', 'informasi', 'detail', 'kendala', 'alami', 'nomor', 'telepon', 'daftar', 'akun', 'goje']"
LUCU BANGET GOJEK NYA,1,"['LUCU', 'BANGET', 'GOJEK', 'NYA']",<FreqDist with 4 samples and 4 outcomes>,"['LUCU', 'BANGET', 'GOJEK', 'NYA']","['lucu', 'banget', 'gojek', 'nya']"
Minat jadi Abang Gojek,1,"['Minat', 'jadi', 'Abang', 'Gojek']",<FreqDist with 4 samples and 4 outcomes>,"['Minat', 'Abang', 'Gojek']","['minat', 'abang', 'gojek']"
Trus dia seneng banget udh bisa pake app gojek dia kerja disalah satu perusahaan teknologi Gue lupa nanya namanya,1,"['Trus', 'dia', 'seneng', 'banget', 'udh', 'bisa', 'pake', 'app', 'gojek', 'dia', 'kerja', 'disalah', 'satu', 'perusahaan', 'teknologi', 'Gue', 'lupa', 'nanya', 'namanya']",<FreqDist with 18 samples and 19 outcomes>,"['Trus', 'seneng', 'banget', 'udh', 'pake', 'app', 'gojek', 'disalah', 'perusahaan', 'teknologi', 'Gue', 'lupa', 'nanya', 'namanya']","['trus', 'neng', 'banget', 'udh', 'pake', 'app', 'gojek', 'salah', 'usaha', 'teknologi', 'gue', 'lupa', 'nanya', 'nama']"
ak pas ngambil kue nya tbtb bapak gojek nya ngucapin sama nyanyiin lagu ulang tahun hshsh padahal yang ultah ayankk,-1,"['ak', 'pas', 'ngambil', 'kue', 'nya', 'tbtb', 'bapak', 'gojek', 'nya', 'ngucapin', 'sama', 'nyanyiin', 'lagu', 'ulang', 'tahun', 'hshsh', 'padahal', 'yang', 'ultah', 'ayankk']",<FreqDist with 19 samples and 20 outcomes>,"['ak', 'pas', 'ngambil', 'kue', 'tbtb', 'gojek', 'ngucapin', 'nyanyiin', 'lagu', 'ulang', 'hshsh', 'ultah', 'ayankk']","['ak', 'pas', 'ngambil', 'kue', 'tbtb', 'gojek', 'ngucapin', 'nyanyiin', 'lagu', 'ulang', 'hshsh', 'ultah', 'ayankk']"
yg butuh voucher gojek gosend dm aja gratis mau nambah xp aja hihihi,1,"['yg', 'butuh', 'voucher', 'gojek', 'gosend', 'dm', 'aja', 'gratis', 'mau', 'nambah', 'xp', 'aja', 'hihihi']",<FreqDist with 12 samples and 13 outcomes>,"['butuh', 'voucher', 'gojek', 'gosend', 'dm', 'gratis', 'nambah', 'xp', 'hihihi']","['butuh', 'voucher', 'gojek', 'gosend', 'dm', 'gratis', 'nambah', 'xp', 'hihihi']"
mau tp pas wkt lwt rame bgt trs prnh mau pesen gojek abangnya ga mau soalnya ngantrinya panjang,-1,"['mau', 'tp', 'pas', 'wkt', 'lwt', 'rame', 'bgt', 'trs', 'prnh', 'mau', 'pesen', 'gojek', 'abangnya', 'ga', 'mau', 'soalnya', 'ngantrinya', 'panjang']",<FreqDist with 16 samples and 18 outcomes>,"['pas', 'wkt', 'rame', 'trs', 'prnh', 'pesen', 'gojek', 'abangnya', 'ngantrinya']","['pas', 'wkt', 'rame', 'trs', 'prnh', 'sen', 'gojek', 'abang', 'ngantrinya']"
Shopee Gojek yg tadinya menyedot pengangguran aja sdh mengurangi karyawan Pabrik banyak ikutan nanti ada masa dima,1,"['Shopee', 'Gojek', 'yg', 'tadinya', 'menyedot', 'pengangguran', 'aja', 'sdh', 'mengurangi', 'karyawan', 'Pabrik', 'banyak', 'ikutan', 'nanti', 'ada', 'masa', 'dima']",<FreqDist with 17 samples and 17 outcomes>,"['Shopee', 'Gojek', 'menyedot', 'pengangguran', 'mengurangi', 'karyawan', 'Pabrik', 'ikutan', 'dima']","['shopee', 'gojek', 'sedot', 'anggur', 'kurang', 'karyawan', 'pabrik', 'ikut', 'dima']"
hoalaaa wkwk bru tauuu gapernah pake gojek,1,"['hoalaaa', 'wkwk', 'bru', 'tauuu', 'gapernah', 'pake', 'gojek']",<FreqDist with 7 samples and 7 outcomes>,"['hoalaaa', 'bru', 'tauuu', 'gapernah', 'pake', 'gojek']","['hoalaaa', 'bru', 'tauuu', 'gapernah', 'pake', 'gojek']"
aku baca di tnc sih semacam komisi buat gojek gt kalau biaya appplatform kan di bayar pas co deh setau,1,"['aku', 'baca', 'di', 'tnc', 'sih', 'semacam', 'komisi', 'buat', 'gojek', 'gt', 'kalau', 'biaya', 'appplatform', 'kan', 'di', 'bayar', 'pas', 'co', 'deh', 'setau']",<FreqDist with 19 samples and 20 outcomes>,"['baca', 'tnc', 'komisi', 'gojek', 'biaya', 'appplatform', 'bayar', 'pas', 'setau']","['baca', 'tnc', 'komisi', 'gojek', 'biaya', 'appplatform', 'bayar', 'pas', 'tau']"
Kalo urusan babi okelah silahkan tp kalo miras pas anda antar trnyata pemesan anak  baw,-1,"['Kalo', 'urusan', 'babi', 'okelah', 'silahkan', 'tp', 'kalo', 'miras', 'pas', 'anda', 'antar', 'trnyata', 'pemesan', 'anak', 'baw']",<FreqDist with 15 samples and 15 outcomes>,"['Kalo', 'urusan', 'babi', 'okelah', 'silahkan', 'miras', 'pas', 'trnyata', 'pemesan', 'anak', 'baw']","['kalo', 'urus', 'babi', 'oke', 'silah', 'miras', 'pas', 'trnyata', 'mes', 'anak', 'baw']"
Sisa voucher ahahaha makasih gojek,1,"['Sisa', 'voucher', 'ahahaha', 'makasih', 'gojek']",<FreqDist with 5 samples and 5 outcomes>,"['Sisa', 'voucher', 'ahahaha', 'makasih', 'gojek']","['sisa', 'voucher', 'ahahaha', 'makasih', 'gojek']"
gojek ke gua knpa pelit banget sii,-1,"['gojek', 'ke', 'gua', 'knpa', 'pelit', 'banget', 'sii']",<FreqDist with 7 samples and 7 outcomes>,"['gojek', 'gua', 'knpa', 'pelit', 'banget', 'sii']","['gojek', 'gua', 'knpa', 'pelit', 'banget', 'sii']"
Gue capek banget hari ini luv banget buat abang gojek yang ga ngajakin gue ngobrol hhh gue ngomong aja males bgt rasanya,1,"['Gue', 'capek', 'banget', 'hari', 'ini', 'luv', 'banget', 'buat', 'abang', 'gojek', 'yang', 'ga', 'ngajakin', 'gue', 'ngobrol', 'hhh', 'gue', 'ngomong', 'aja', 'males', 'bgt', 'rasanya']",<FreqDist with 20 samples and 22 outcomes>,"['Gue', 'capek', 'banget', 'luv', 'banget', 'abang', 'gojek', 'ngajakin', 'gue', 'ngobrol', 'gue', 'ngomong', 'males']","['gue', 'capek', 'banget', 'luv', 'banget', 'abang', 'gojek', 'ngajakin', 'gue', 'ngobrol', 'gue', 'ngomong', 'males']"
kakak gojek ini kenapa ya Gabisa pakai jadinya Tolong dibantu,-1,"['kakak', 'gojek', 'ini', 'kenapa', 'ya', 'Gabisa', 'pakai', 'jadinya', 'Tolong', 'dibantu']",<FreqDist with 10 samples and 10 outcomes>,"['kakak', 'gojek', 'Gabisa', 'pakai', 'Tolong', 'dibantu']","['kakak', 'gojek', 'gabisa', 'pakai', 'tolong', 'bantu']"
Tbtb mau ke taman pulomas sendirian naek gojek wkwk sabi  ,1,"['Tbtb', 'mau', 'ke', 'taman', 'pulomas', 'sendirian', 'naek', 'gojek', 'wkwk', 'sabi']",<FreqDist with 10 samples and 10 outcomes>,"['Tbtb', 'taman', 'pulomas', 'naek', 'gojek', 'sabi']","['tbtb', 'taman', 'pulomas', 'naek', 'gojek', 'sabi']"
aku waktu sma gini uang jajan perharinya  tp gojek pp paling kecil  ngakalinnya ya kalo ada uang lebih lgsg dijadiin gopay trs nyari promo kl promo di akunku abis biasanya minjem akun temen wkwkw,1,"['aku', 'waktu', 'sma', 'gini', 'uang', 'jajan', 'perharinya', 'tp', 'gojek', 'pp', 'paling', 'kecil', 'ngakalinnya', 'ya', 'kalo', 'ada', 'uang', 'lebih', 'lgsg', 'dijadiin', 'gopay', 'trs', 'nyari', 'promo', 'kl', 'promo', 'di', 'akunku', 'abis', 'biasanya', 'minjem', 'akun', 'temen', 'wkwkw']",<FreqDist with 32 samples and 34 outcomes>,"['sma', 'gini', 'uang', 'jajan', 'perharinya', 'gojek', 'ngakalinnya', 'uang', 'lgsg', 'dijadiin', 'gopay', 'trs', 'nyari', 'promo', 'promo', 'akunku', 'abis', 'minjem', 'akun', 'temen']","['sma', 'gin', 'uang', 'jajan', 'hari', 'gojek', 'ngakalinnya', 'uang', 'lgsg', 'dijadiin', 'gopay', 'trs', 'nyari', 'promo', 'promo', 'akun', 'abis', 'minjem', 'akun', 'temen']"
RT Assalamualaikum Sahabat Gojek Militan Pagi Para Pejuang Sepertiga Malam Ya Allah Mudahkanlah Segala urusan kami Ringa,1,"['RT', 'Assalamualaikum', 'Sahabat', 'Gojek', 'Militan', 'Pagi', 'Para', 'Pejuang', 'Sepertiga', 'Malam', 'Ya', 'Allah', 'Mudahkanlah', 'Segala', 'urusan', 'kami', 'Ringa']",<FreqDist with 17 samples and 17 outcomes>,"['RT', 'Assalamualaikum', 'Sahabat', 'Gojek', 'Militan', 'Pagi', 'Para', 'Pejuang', 'Sepertiga', 'Malam', 'Ya', 'Allah', 'Mudahkanlah', 'Segala', 'urusan', 'Ringa']","['rt', 'assalamualaikum', 'sahabat', 'gojek', 'militan', 'pagi', 'para', 'juang', 'tiga', 'malam', 'ya', 'allah', 'mudah', 'segala', 'urus', 'ringa']"
Kayaknya karna minggu deh Aku yg biasa pake gojek move grab skrg,-1,"['Kayaknya', 'karna', 'minggu', 'deh', 'Aku', 'yg', 'biasa', 'pake', 'gojek', 'move', 'grab', 'skrg']",<FreqDist with 12 samples and 12 outcomes>,"['Kayaknya', 'karna', 'minggu', 'Aku', 'pake', 'gojek', 'move', 'grab']","['kayak', 'karna', 'minggu', 'aku', 'pake', 'gojek', 'move', 'grab']"
Giliran lg dinas butuh makan dah laper gojek app nya malah error kenapa sih bikin makin stress dan bete aja Udh,-1,"['Giliran', 'lg', 'dinas', 'butuh', 'makan', 'dah', 'laper', 'gojek', 'app', 'nya', 'malah', 'error', 'kenapa', 'sih', 'bikin', 'makin', 'stress', 'dan', 'bete', 'aja', 'Udh']",<FreqDist with 21 samples and 21 outcomes>,"['Giliran', 'dinas', 'butuh', 'makan', 'laper', 'gojek', 'app', 'error', 'stress', 'bete', 'Udh']","['gilir', 'dinas', 'butuh', 'makan', 'laper', 'gojek', 'app', 'error', 'stress', 'bete', 'udh']"
Chatannya pakek gojek atau shopee aja guys,1,"['Chatannya', 'pakek', 'gojek', 'atau', 'shopee', 'aja', 'guys']",<FreqDist with 7 samples and 7 outcomes>,"['Chatannya', 'pakek', 'gojek', 'shopee']","['chatannya', 'pakek', 'gojek', 'shopee']"
Sharelock mengko dipetuk gojek nder hehehe,1,"['Sharelock', 'mengko', 'dipetuk', 'gojek', 'nder', 'hehehe']",<FreqDist with 6 samples and 6 outcomes>,"['Sharelock', 'mengko', 'dipetuk', 'gojek']","['sharelock', 'mengko', 'petuk', 'gojek']"
mau balik jadi gojek,1,"['mau', 'balik', 'jadi', 'gojek']",<FreqDist with 4 samples and 4 outcomes>,['gojek'],['gojek']
ini gojek pelit promo banget deh akhir akhir ini gua mau pergi jadi males anjir mahal bgt ongkosnya,-1,"['ini', 'gojek', 'pelit', 'promo', 'banget', 'deh', 'akhir', 'akhir', 'ini', 'gua', 'mau', 'pergi', 'jadi', 'males', 'anjir', 'mahal', 'bgt', 'ongkosnya']",<FreqDist with 16 samples and 18 outcomes>,"['gojek', 'pelit', 'promo', 'banget', 'gua', 'pergi', 'males', 'anjir', 'mahal', 'ongkosnya']","['gojek', 'pelit', 'promo', 'banget', 'gua', 'pergi', 'males', 'anjir', 'mahal', 'ongkos']"
dulu aku jaman sekolah uang jajan sehari rb tapi gojekku bisa rb untuk pp  dulu gapunya motor jd,1,"['dulu', 'aku', 'jaman', 'sekolah', 'uang', 'jajan', 'sehari', 'rb', 'tapi', 'gojekku', 'bisa', 'rb', 'untuk', 'pp', 'dulu', 'gapunya', 'motor', 'jd']",<FreqDist with 16 samples and 18 outcomes>,"['jaman', 'sekolah', 'uang', 'jajan', 'sehari', 'gojekku', 'gapunya', 'motor']","['jaman', 'sekolah', 'uang', 'jajan', 'hari', 'gojek', 'gapunya', 'motor']"
ngga perlu kak yang penting ada foto sblm kemasan dibuka setelah dibuka sama struknya trs komplainnya lgs kyk gini aja ke gojek lumayan fast respon sih aku jaman udh di refund,1,"['ngga', 'perlu', 'kak', 'yang', 'penting', 'ada', 'foto', 'sblm', 'kemasan', 'dibuka', 'setelah', 'dibuka', 'sama', 'struknya', 'trs', 'komplainnya', 'lgs', 'kyk', 'gini', 'aja', 'ke', 'gojek', 'lumayan', 'fast', 'respon', 'sih', 'aku', 'jaman', 'udh', 'di', 'refund']",<FreqDist with 30 samples and 31 outcomes>,"['ngga', 'foto', 'kemasan', 'dibuka', 'dibuka', 'struknya', 'trs', 'komplainnya', 'lgs', 'kyk', 'gini', 'gojek', 'lumayan', 'fast', 'respon', 'jaman', 'udh', 'refund']","['ngga', 'foto', 'kemas', 'buka', 'buka', 'struknya', 'trs', 'komplain', 'lgs', 'kyk', 'gin', 'gojek', 'lumayan', 'fast', 'respon', 'jaman', 'udh', 'refund']"
Gojek aja,1,"['Gojek', 'aja']",<FreqDist with 2 samples and 2 outcomes>,['Gojek'],['gojek']
milnyu dia mau pesen gojek,1,"['milnyu', 'dia', 'mau', 'pesen', 'gojek']",<FreqDist with 5 samples and 5 outcomes>,"['milnyu', 'pesen', 'gojek']","['milnyu', 'sen', 'gojek']"
RT my man thats the same thing oh enggak kok kita ga blokir internet tapi blokir situs punya Facebook Google yang belu,-1,"['RT', 'my', 'man', 'thats', 'the', 'same', 'thing', 'oh', 'enggak', 'kok', 'kita', 'ga', 'blokir', 'internet', 'tapi', 'blokir', 'situs', 'punya', 'Facebook', 'Google', 'yang', 'belu']",<FreqDist with 21 samples and 22 outcomes>,"['RT', 'thats', 'same', 'thing', 'blokir', 'internet', 'blokir', 'situs', 'Facebook', 'Google', 'belu']","['rt', 'thats', 'same', 'thing', 'blokir', 'internet', 'blokir', 'situs', 'facebook', 'google', 'belu']"
Pas gw tanya di chat tu gojek stlh mnt dia bru bales otw kan wtf anjir dr tdi mnt ngapain aja di maps nya ,-1,"['Pas', 'gw', 'tanya', 'di', 'chat', 'tu', 'gojek', 'stlh', 'mnt', 'dia', 'bru', 'bales', 'otw', 'kan', 'wtf', 'anjir', 'dr', 'tdi', 'mnt', 'ngapain', 'aja', 'di', 'maps', 'nya']",<FreqDist with 22 samples and 24 outcomes>,"['Pas', 'chat', 'gojek', 'stlh', 'mnt', 'bru', 'bales', 'otw', 'wtf', 'anjir', 'tdi', 'mnt', 'ngapain', 'maps']","['pas', 'chat', 'gojek', 'stlh', 'mnt', 'bru', 'bales', 'otw', 'wtf', 'anjir', 'tdi', 'mnt', 'ngapain', 'maps']"
bentar mwu gojek kopken,1,"['bentar', 'mwu', 'gojek', 'kopken']",<FreqDist with 4 samples and 4 outcomes>,"['bentar', 'mwu', 'gojek', 'kopken']","['bentar', 'mwu', 'gojek', 'kopken']"
tp tkut ancur klo pake gojek,-1,"['tp', 'tkut', 'ancur', 'klo', 'pake', 'gojek']",<FreqDist with 6 samples and 6 outcomes>,"['tkut', 'ancur', 'pake', 'gojek']","['tkut', 'ancur', 'pake', 'gojek']"
Nih ya mau jalan jelek kek jalan lagi di cor gw ga peduli salah sndiri ga ngomong dr awal nih driver gojek ngapa,-1,"['Nih', 'ya', 'mau', 'jalan', 'jelek', 'kek', 'jalan', 'lagi', 'di', 'cor', 'gw', 'ga', 'peduli', 'salah', 'sndiri', 'ga', 'ngomong', 'dr', 'awal', 'nih', 'driver', 'gojek', 'ngapa']",<FreqDist with 21 samples and 23 outcomes>,"['Nih', 'jalan', 'jelek', 'jalan', 'cor', 'peduli', 'salah', 'sndiri', 'ngomong', 'driver', 'gojek', 'ngapa']","['nih', 'jalan', 'jelek', 'jalan', 'cor', 'peduli', 'salah', 'sndiri', 'ngomong', 'driver', 'gojek', 'ngapa']"
bayangin blm sama ongkos gojek ke kampus krn tkut bawa kendaraan dan krn gaada yg anter jgg,-1,"['bayangin', 'blm', 'sama', 'ongkos', 'gojek', 'ke', 'kampus', 'krn', 'tkut', 'bawa', 'kendaraan', 'dan', 'krn', 'gaada', 'yg', 'anter', 'jgg']",<FreqDist with 16 samples and 17 outcomes>,"['bayangin', 'ongkos', 'gojek', 'kampus', 'tkut', 'bawa', 'kendaraan', 'gaada', 'anter', 'jgg']","['bayangin', 'ongkos', 'gojek', 'kampus', 'tkut', 'bawa', 'kendara', 'gaada', 'anter', 'jgg']"
Hai Kak mohon maaf atas kendalanya Untuk kami lakukan pengecekan lebih lanjut mohon diinformasikan nomor telepon dan email kamu yang terdaftar melalui DM ya TksAri,1,"['Hai', 'Kak', 'mohon', 'maaf', 'atas', 'kendalanya', 'Untuk', 'kami', 'lakukan', 'pengecekan', 'lebih', 'lanjut', 'mohon', 'diinformasikan', 'nomor', 'telepon', 'dan', 'email', 'kamu', 'yang', 'terdaftar', 'melalui', 'DM', 'ya', 'TksAri']",<FreqDist with 24 samples and 25 outcomes>,"['Hai', 'Kak', 'maaf', 'kendalanya', 'Untuk', 'lakukan', 'pengecekan', 'diinformasikan', 'nomor', 'telepon', 'email', 'terdaftar', 'DM', 'TksAri']","['hai', 'kak', 'maaf', 'kendala', 'untuk', 'laku', 'kece', 'informasi', 'nomor', 'telepon', 'email', 'daftar', 'dm', 'tksari']"
Gojek sekarang mahal bgt,-1,"['Gojek', 'sekarang', 'mahal', 'bgt']",<FreqDist with 4 samples and 4 outcomes>,"['Gojek', 'mahal']","['gojek', 'mahal']"
RT GOJEK gaada tanggung jawabnya Suruh bantuan di aplikasi gak ditanggepin laporan diselesaikan sepihak ga,-1,"['RT', 'GOJEK', 'gaada', 'tanggung', 'jawabnya', 'Suruh', 'bantuan', 'di', 'aplikasi', 'gak', 'ditanggepin', 'laporan', 'diselesaikan', 'sepihak', 'ga']",<FreqDist with 15 samples and 15 outcomes>,"['RT', 'GOJEK', 'gaada', 'tanggung', 'Suruh', 'bantuan', 'aplikasi', 'ditanggepin', 'laporan', 'diselesaikan']","['rt', 'gojek', 'gaada', 'tanggung', 'suruh', 'bantu', 'aplikasi', 'ditanggepin', 'lapor', 'selesai']"
Kirim surat lewat gojek mba,1,"['Kirim', 'surat', 'lewat', 'gojek', 'mba']",<FreqDist with 5 samples and 5 outcomes>,"['Kirim', 'surat', 'gojek']","['kirim', 'surat', 'gojek']"
